Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22
-0.030644,-0.09276044,-0.14195842,-0.110548556,-0.1423617,-0.11986929,-0.11403257,-0.086865366,-0.12566137,-0.16125071,-0.1101529,-0.12566352,-0.120609045,-0.11524224,-0.09410721,-0.10985184,-0.060213625,-0.12670362,-0.10855037,-0.052399337,-0.057617903,-0.09472889,-0.08183503,-0.068706036
0.04014063,-0.008705199,-0.29556566,-0.20484433,-0.18936083,-0.12816566,-0.14231622,-0.14725068,-0.10914868,-0.16246039,-0.10607457,-0.131903,-0.11124545,-0.09432411,-0.0771777,-0.08228785,-0.041270077,-0.059321225,-0.060820162,-0.017765641,0.0008763671,-0.04315555,-0.04855275,0.0042000413
-0.021466374,-0.03655213,-0.19773728,-0.15777427,-0.12365323,-0.118552804,-0.11271697,-0.14481294,-0.09727216,-0.1395858,-0.13670778,-0.074536026,-0.15070844,-0.15650868,-0.0747053,-0.070069194,-0.07904458,-0.06885159,-0.031039715,-0.043824434,-0.056595266,-0.036589622,,
-0.01793629,-0.015370667,-0.23021054,-0.19190896,-0.15051842,-0.14946163,-0.13374919,-0.14978766,-0.10496855,-0.11839342,-0.122086525,-0.0980013,-0.11890304,-0.12743795,-0.08028978,-0.075710714,-0.06786555,-0.075164795,-0.04212171,-0.0430187,-0.054360926,-0.03990203,,
-0.0063055158,-0.005247712,-0.13455367,-0.1181196,-0.0973894,-0.10341042,-0.09398216,-0.09123665,-0.0777086,-0.095932186,-0.080624044,-0.060094357,-0.0880571,-0.089971125,-0.069684386,-0.053982973,-0.06311828,-0.03046906,-0.03861797,-0.025212884,-0.04561597,-0.030668676,,
0.013239145,-0.023296475,-0.22083887,-0.1387881,-0.1274873,-0.15338898,-0.14524186,-0.1495943,-0.12409526,-0.11692715,-0.117498934,-0.06317699,-0.1038152,-0.06551796,-0.097244084,-0.07743418,-0.08612585,-0.06690502,-0.068706155,-0.0781765,-0.07221657,-0.016282082,-0.063318074,-0.04495108
-0.092708945,-0.056776464,-0.3089358,-0.20006728,-0.16736418,-0.20625043,-0.1475653,-0.17412895,-0.16370434,-0.19497955,-0.11809486,-0.14429277,-0.16463304,-0.106417835,-0.1289146,-0.14142358,-0.104335666,-0.07356107,-0.104040086,-0.08818722,-0.07761991,0.019890368,-0.07389307,-0.044291854
-0.08619779,-0.059779942,-0.3417811,-0.20265234,-0.17202067,-0.2084707,-0.16018409,-0.1716649,-0.1582995,-0.17966992,-0.1159153,-0.13961434,-0.16514307,-0.10163927,-0.13382101,-0.14642358,-0.105234265,-0.067698896,-0.09352583,-0.07320583,-0.08786124,0.040418744,-0.07773179,-0.03717822
-0.0050162673,0.00864917,-0.03922528,-0.11682594,-0.085807204,-0.08792341,-0.08965397,-0.10787737,-0.07742995,-0.12695312,-0.08045548,-0.056711912,-0.039848804,-0.050339818,-0.039194286,-0.016306758,-0.02344191,-0.006090343,-0.015329361,-0.0033848882,-0.02215761,0.016315162,,
-0.013893306,-0.009223282,-0.1315363,-0.14471108,-0.12661922,-0.11276227,-0.10698825,-0.10295355,-0.09427434,-0.12531698,-0.09493911,-0.06947166,-0.066871524,-0.08021319,-0.038864017,-0.045980215,-0.030188322,-0.030770957,-0.014310181,-0.019028306,-0.024454534,0.010512948,,
