Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21
0.0,0.0,-1.8626451e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.195639e-08,4.4703484e-08,-1.6763806e-08,-1.1175871e-08,0.0,3.7252903e-09,1.1175871e-08,1.1175871e-08,1.8626451e-08,2.2351742e-08,2.2351742e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,3.7252903e-08,3.7252903e-08,4.4703484e-08,5.2154064e-08,5.9604645e-08,0.0,0.0,3.7252903e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,0.059499994,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06519982,0.05949983,
1.4901161e-08,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252903e-09,3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-1.8626451e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.195639e-08,4.4703484e-08,-1.6763806e-08,-1.1175871e-08,0.0,3.7252903e-09,1.1175871e-08,1.1175871e-08,1.8626451e-08,2.2351742e-08,2.2351742e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,3.7252903e-08,3.7252903e-08,4.4703484e-08,5.2154064e-08,5.9604645e-08,0.0,0.0,3.7252903e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,0.059499994,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,0.0,1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06519982,0.059499845,
1.4901161e-08,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,-1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,1.4901161e-08,1.4901161e-08,
